Ticker,Quantity,Cost Per Share,Currency,Date,Commission,Commission Currency,DRIP Confirmed
AGNC,51.770552,9.66,EUR,2026-02-16,,,
PRG.DE,-2.810593,136.3,EUR,2026-02-13,,,
MAIN,4.897159,51.08,EUR,2026-02-09,,,
O,2.32468,51.62,EUR,2026-02-02,,,
PFE,3.566651,22.43,EUR,2026-02-02,,,
PRG.DE,0.772439,129.46,EUR,2026-02-02,,,
PRG.DE,2.038154,122.66,EUR,2026-01-22,,,
DYT1.DE,20.185708,12.39,EUR,2026-01-22,,,
VZ,7.444907,33.58,EUR,2026-01-19,,,
PFE,11.253657,22.22,EUR,2026-01-16,,,
VZ,7.331378,34.1,EUR,2026-01-13,,,
AGNC,25.489396,9.81,EUR,2026-01-09,,,
AGNC,-103.689084,9.4,EUR,2026-01-06,,,
VZ,2.58695,34.69,EUR,2026-01-02,,,
PFE,4.235294,21.25,EUR,2026-01-02,,,
O,2.494283,48.11,EUR,2026-01-02,,,
KO,-17.222123,59.7,EUR,2025-12-22,,,
VZ,7.334604,34.09,EUR,2025-12-22,,,
NTGY.ES,40.225261,24.86,EUR,2025-12-22,,,
O,5.091649,49.09,EUR,2025-12-16,,,
PHMMF,-10.103917,76.55,EUR,2025-12-12,,,
O,5.108295,48.94,EUR,2025-12-12,,,
VZ,7.256894,34.45,EUR,2025-12-12,,,
O,5.0813,49.2,EUR,2025-12-10,,,
PFE,4.149377,21.69,EUR,2025-12-02,,,
VZ,2.585835,34.81,EUR,2025-12-02,,,
O,2.426202,49.46,EUR,2025-12-02,,,
PHMMF,3.405994,73.4,EUR,2025-12-02,,,
ARCC,13.977412,17.89,EUR,2025-12-02,,,
O,5.053567,49.47,EUR,2025-12-02,,,
VZ,7.138777,35.02,EUR,2025-12-01,,,
PHMMF,6.697923,74.65,EUR,2025-12-01,0.0,USD,
MAIN,2.072324,48.25,EUR,2025-11-21,,,
AGNC,22.867596,8.75,EUR,2025-11-18,,,
O,5.100479,49.02,EUR,2025-11-17,,,
O,2.446732,49.05,EUR,2025-11-07,,,
KO,17.222123,66.81,USD,2025-09-10,,,
MAIN,17.917934,64.21,USD,2025-08-25,,,
O,80.003125,57.14,USD,2025-05-01,,,
PFE,46.225067,24.64,USD,2025-05-01,,,
VZ,56.963747,42.26,USD,2025-05-01,,,
AGNC,80.821488,9.99,USD,2025-05-01,,,
ARCC,26.052521,22.08,USD,2025-05-01,,,
TUB.ES,59.101654,4.25,EUR,2025-05-01,,,
RED.ES,27.593818,18.19,EUR,2025-05-01,,,
SAB.ES,73.206442,3.44,EUR,2025-05-01,,,
